Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
TaTiNb ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  295°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,1135,,,1765,20,,
TaTiNbZr ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  295°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,1572,,,1728,6,,
TaTiNbZrMo ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  295°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,1480,,,1625,6,,
TaTiNbZrW ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  295°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,1871,,,1992,2,,
TaTiNb ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  873°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,800,,,1130,14,,
TaTiNbZr ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  873°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,1004,,,1178,16,,
TaTiNbZrMo ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  873°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,1021,,,1509,14,,
TaTiNbZrW ,BCC,0,1,0,0,0," initial, SPS 1373 K,Annealing at  873°C",1,https://doi.org/10.1016/j.jallcom.2021.162030 ,,899,,,1155,13,,
AlCoCrFeNi2.1 ,FCC + BCC,1,1,0,0,0,10 μm/s ,1,https://doi.org/10.1016/j.jallcom.2021.162907 ,,409,1109,26.5,,,,
FeCoNi1.5CuB0.5Y0.2 ,FCC,1,0,0,0,0,"−100 °C, 24 h, 10 °C/min",1,https://doi.org/10.1016/j.jallcom.2022.164310 ,,,,,1081.49,,,
AlCoCrFeNi2.1 ,FCC + BCC,1,1,0,0,0,100 μm/s ,1,https://doi.org/10.1016/j.jallcom.2021.162907 ,,445,1340,30.5,,,,
AlCoCrFeNi ,FCC+BCC+σ,1,1,0,0,1,10000°C-10h,1,https://doi.org/10.1016/j.jmst.2020.08.063 ,,,,,910,38,,
AlCoCrFeNi2.1 ,FCC + BCC,1,1,0,0,0,100μm/s,1,https://doi.org/10.1016/j.jallcom.2021.162907 ,,440,1012,14.5,,,,
Al0.3CoCrFeNi,FCC,1,0,0,0,0,"1073 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,84.8,,,,,,,
Al0.5CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,187,,,,,,,
Al0.7CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,184,,,,,,,
Al0.9CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,210,,,,,,,
Al1.5CoCrFeNi,BCC,0,1,0,0,0,"1073 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,245,,,,,,,
Al0.3CoCrFeNi,FCC,1,0,0,0,0,"1073 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,85.2,,,,,,,
Al0.5CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,190,,,,,,,
Al0.7CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,182,,,,,,,
Al0.9CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,205,,,,,,,
Al1.5CoCrFeNi,BCC,0,1,0,0,0,"1073 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,250,,,,,,,
Al0.3CoCrFeNi,FCC,1,0,0,0,0,"1073 K annealing, dwell time 5s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,86,,,,,,,
Al0.5CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 5s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,189,,,,,,,
Al0.7CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 5s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,192,,,,,,,
Al0.9CoCrFeNi,FCC+BCC,1,1,0,0,0,"1073 K annealing, dwell time 5s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,260,,,,,,,
Al1.5CoCrFeNi,BCC,0,1,0,0,0,"1073 K annealing, dwell time 5s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,255,,,,,,,
Al0.3CoCrFeNi,FCC,1,0,0,0,0,"1173 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,82.2,,,,,,,
Al0.5CoCrFeNi,FCC+BCC,1,1,0,0,0,"1173 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,170,,,,,,,
Al0.7CoCrFeNi,FCC+BCC,1,1,0,0,0,"1173 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,172,,,,,,,
Al0.9CoCrFeNi,FCC+BCC,1,1,0,0,0,"1173 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,160,,,,,,,
Al1.5CoCrFeNi,BCC,0,1,0,0,0,"1173 K annealing, dwell time 15s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,200,,,,,,,
Al0.3CoCrFeNi,FCC,1,0,0,0,0,"1173 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,82.2,,,,,,,
Al0.5CoCrFeNi,FCC+BCC,1,1,0,0,0,"1173 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,161,,,,,,,
Al0.7CoCrFeNi,FCC+BCC,1,1,0,0,0,"1173 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,152,,,,,,,
Al0.9CoCrFeNi,FCC+BCC,1,1,0,0,0,"1173 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,145,,,,,,,
Al1.5CoCrFeNi,BCC,0,1,0,0,0,"1173 K annealing, dwell time 30s",1,dx.doi.org/10.1016/j.jallcom.2013.11.084,190,,,,,,,
