Enthalpy(kJ/mol),std_enthalpy(kJ/mol),Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Density(g/com^3),Price(USD/kg)
1.333333333,0.509175077,1.644434375,18.22535335,9.134370806,266033.3333,0.20838167,1.546666667,2.657075001,4.666666667,0.471404521,9.954246906,146.55
2.5,1.045825033,3.725554653,11.65192923,11.52629264,252725,0.210728388,1.4925,6.72315988,4.5,0.5,8.911205438,119.29
-1.76,2.325992261,3.355465401,19.7758927,13.38161136,260100,0.191716027,1.626,17.32353446,4.8,0.748331477,9.132901292,99.81
-3.2,3.062025473,4.60642332,11.5449852,13.38161136,276080,0.241648863,1.666,21.51373046,4.8,0.748331477,10.69316001,90.4
1.333333333,0.509175077,1.644434375,18.22535335,9.134370806,266033.3333,0.20838167,1.546666667,2.657075001,4.666666667,0.471404521,9.954246906,146.55
2.5,1.045825033,3.725554653,11.65192923,11.52629264,252725,0.210728388,1.4925,6.72315988,4.5,0.5,8.911205438,119.29
-1.76,2.325992261,3.355465401,19.7758927,13.38161136,260100,0.191716027,1.626,17.32353446,4.8,0.748331477,9.132901292,99.81
-3.2,3.062025473,4.60642332,11.5449852,13.38161136,276080,0.241648863,1.666,21.51373046,4.8,0.748331477,10.69316001,90.4
-11.94302607,5.505649683,3.673220027,1.829184744,12.91126059,169201.1475,0.218816044,1.801803279,6.680818593,7.704918033,2.491587566,7.071582538,16.06
-6.701183432,8.386270941,13.43227559,3.590273828,13.80406796,174289.8077,0.146330494,1.872884615,7.547604702,8.673076923,2.447299562,7.841384526,62.91
-11.94302607,5.505649683,3.673220027,1.829184744,12.91126059,169201.1475,0.218816044,1.801803279,6.680818593,7.704918033,2.491587566,7.071582538,16.06
-12.32,5.504703443,4.05720413,1.829211964,13.38161136,168409.4,0.242573976,1.778,6.780952474,7.2,2.481934729,6.717648579,17.82
-11.94302607,5.505649683,3.673220027,1.829184744,12.91126059,169201.1475,0.218816044,1.801803279,6.680818593,7.704918033,2.491587566,7.071582538,16.06
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-9.086419753,4.600341233,3.365800511,2.557158308,13.14594488,176749.6667,0.19258642,1.796666667,6.264171806,7.666666667,2.160246899,7.334513944,18.72
-10.57492078,5.06250657,3.695441252,2.179777598,13.30882985,173200.617,0.215473395,1.788723404,6.507037182,7.468085106,2.314166031,7.06636125,18.35
-11.79508538,5.383295487,3.950566741,1.926977249,13.37453762,169941.2857,0.234313033,1.781428571,6.699791042,7.285714286,2.432769481,6.827530884,17.99
-14.28099174,5.842750639,4.445721033,1.499726476,13.25463943,161585.5455,0.27557314,1.762727273,7.073586618,6.818181818,2.656661672,6.245655305,17.01
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-9.086419753,4.600341233,3.365800511,2.557158308,13.14594488,176749.6667,0.19258642,1.796666667,6.264171806,7.666666667,2.160246899,7.334513944,18.72
-10.57492078,5.06250657,3.695441252,2.179777598,13.30882985,173200.617,0.215473395,1.788723404,6.507037182,7.468085106,2.314166031,7.06636125,18.35
-11.79508538,5.383295487,3.950566741,1.926977249,13.37453762,169941.2857,0.234313033,1.781428571,6.699791042,7.285714286,2.432769481,6.827530884,17.99
-14.28099174,5.842750639,4.445721033,1.499726476,13.25463943,161585.5455,0.27557314,1.762727273,7.073586618,6.818181818,2.656661672,6.245655305,17.01
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-9.086419753,4.600341233,3.365800511,2.557158308,13.14594488,176749.6667,0.19258642,1.796666667,6.264171806,7.666666667,2.160246899,7.334513944,18.72
-10.57492078,5.06250657,3.695441252,2.179777598,13.30882985,173200.617,0.215473395,1.788723404,6.507037182,7.468085106,2.314166031,7.06636125,18.35
